nro_siniestro_gw,nro_situacion,id._publico_exposicion,codigo_plan_cobertura,plan_cobertura,nombre_exposicion,cobertura_principal,codigo_tipo_transaccion,usuario_creador,monto_transaccion,fecha_pago,tipo_vehiculo,grupo_tipo_vehiculo_alternativo,marca_vehiculo,modelo_vehiculo,año_mes_fecha_pago,usd_blue,ipc_factor,pago_ipc,pago_usd
4-3431241,1,cc:841262,25,"25 - R.C., ACC, INCENDIO Y ROBO TOTAL",(1) Robo Total - Robo y Hurto Total (Autos particulares),Robo Total,Payment,DMOGGI,9249000.0,2026-02-24,AUT/FAM/M.VAN,AUTOS PARTICULARES,FORD,FOCUS,2026-02-01,1441.6,1.033826222,9561858.727278,6415.788013318535
4-3431241,1,cc:841262,25,"25 - R.C., ACC, INCENDIO Y ROBO TOTAL",(1) Robo Total - Robo y Hurto Total (Autos particulares),Robo Total,Payment,DTALOTTI,9249000.0,2026-02-24,AUT/FAM/M.VAN,AUTOS PARTICULARES,FORD,FOCUS,2026-02-01,1441.6,1.033826222,9561858.727278,6415.788013318535
4-3431254,1,cc:841189,30,PLAN PRIVILEGIO L2 (EX 30),(1) Robo Total - Robo y Hurto Total (Autos particulares),Robo Total,Payment,HZALAZAR,17949000.0,2026-02-24,AUT/FAM/M.VAN,AUTOS PARTICULARES,CHEVROLET,CRUZE,2026-02-01,1441.6,1.033826222,18556146.858678002,12450.749167591566
4-3431325,1,cc:841410,30,PLAN PRIVILEGIO L2 (EX 30),(2) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,DSECRETI,17850000.0,2026-03-02,AUT/FAM/M.VAN,AUTOS PARTICULARES,RENAULT,SANDERO,2026-03-01,1411.1904761904761,1.0,17850000.0,12648.894887801587
4-3431437,1,cc:841394,30,PLAN PRIVILEGIO L2 (EX 30),(2) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,DSECRETI,47000000.0,2026-02-24,P GII +1000Kg,PICK UPS,TOYOTA,HILUX,2026-02-01,1441.6,1.033826222,48589832.434,32602.663706992233
4-3431469,1,cc:841470,0,PLAN SELECTO L2 (EX L200),(3) Destrucción Total - Incendio Total (Autos particulares),Incendio Total,Payment,GRFERNAN,15226748.0,2026-02-27,AUT/FAM/M.VAN,AUTOS PARTICULARES,VOLKSWAGEN,VENTO,2026-02-01,1441.6,1.033826222,15741811.358186057,10562.394561598225
4-3431469,1,cc:841470,0,PLAN SELECTO L2 (EX L200),(3) Destrucción Total - Incendio Total (Autos particulares),Incendio Total,Payment,MAROMERO,15226748.0,2026-02-27,AUT/FAM/M.VAN,AUTOS PARTICULARES,VOLKSWAGEN,VENTO,2026-02-01,1441.6,1.033826222,15741811.358186057,10562.394561598225
4-3431489,1,cc:841621,30,PLAN PRIVILEGIO L2 (EX 30),(1) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,MVIVIANO,42900000.0,2026-02-25,JEEP/CAM.FAM,JEEPS,FORD,TERRITORY,2026-02-01,1441.6,1.033826222,44351144.92380001,29758.60155382908
4-3431543,6,cc:841662,30,PLAN PRIVILEGIO L2 (EX 30),(1) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,MDSALVAT,55113000.0,2026-03-10,P GII +1000Kg,PICK UPS,FORD,RANGER,2026-03-01,1411.1904761904761,1.0,55113000.0,39054.26016534503
4-3431543,6,cc:841662,30,PLAN PRIVILEGIO L2 (EX 30),(1) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,MVINCIGU,55113000.0,2026-03-10,P GII +1000Kg,PICK UPS,FORD,RANGER,2026-03-01,1411.1904761904761,1.0,55113000.0,39054.26016534503
